#!/usr/bin/python
## مطابق با استخراج و تنظیم شورای مرکز تقویم مؤسسهٔ ژئوفیزیک دانشگاه تهران‬(مناسبت‌ها از شورای فرهنگ عمومی)
## گردآوری، فرمت‌بندی و به روزآوری: سعید رسولی <saeed.gnu@gmail.com> ، مولا پهنادایان <mola.mp@gmail.com>

01/01	آغاز عید نوروز
04/08	روز مبارزه با سلاح‌های شیمیایی و میکروبی
04/10	روز صنعت و معدن
04/11	شهادت آیت‌اللّه صدوقی چهارمین شهید محراب به دست منافقان(۱۳۶۱ ه‍.ش)
04/12	‫حملهٔ ددمنشانهٔ ناوگان آمریکای جنایتکار به هواپیمای مسافربری جمهوری اسلامی ایران‫(۱۳۶۷ ه‍.ش) – روز افشای حقوق بشر آمریکایی
04/14	روز قلم
04/18	‫روز ادبیات کودکان و نوجوانان‬
04/21	روز عفاف و حجاب
04/23	روز گفت‌وگو و تعامل سازنده با دنیا
04/25	روز بهزیستی و تأمین اجتماعی
04/26	سالروز تأسیس نهاد شورای نگهبان
05/05	سالروز عملیات افتخار آفرین مرصاد(۱۳۶۷ ه‍.ش)
05/09	روز اهدای خون
05/14	صدور فرمان مشروطیت(۱۲۸۵ ه‍.ش) – روز حقوق بشر اسلامی و کرامت انسانی
05/16	تشکیل جهاد دانشگاهی(۱۳۵۹ ه‍.ش)
05/17	روز خبرنگار
05/21	روز حمایت از صنایع کوچک
05/22	روز تشکل‌ها و مشارکت‌های اجتماعی
05/23	روز مقاومت اسلامی
05/26	آغاز بازگشت آزادگان به میهن اسلامی(۱۳۶۹ ه‍.ش)
05/28	کودتای آمریکا برای بازگرداندن شاه(۱۳۳۲ ه‍.ش)
05/30	روز بزرگداشت علامه مجلسی
06/01	روز بزرگداشت ابوعلی سینا – روز پزشک
06/02	آغاز هفتهٔ دولت – ‫شهادت سید علی اندرزگو(۲ شهریور ۱۳۵۷ ه‍.ش و ۱۹ رمضان ۱۳۹۸ ه‍‍.ق)
06/04	روز کارمند
06/05	روز بزرگداشت محمد بن زکریای رازی – روز داروسازی
06/08	روز مبارزه با تروریسم(انفجار دفتر نخست وزیری به دست منافقان و شهادت مظلومانهٔ شهیدان رجایی و باهنر – ۱۳۶۰ ه‍.ش)
06/12	روز مبارزه با استعمار انگلیس(سالروز شهادت رئیسعلی دلواری)
06/13	روز تعاون – روز بزرگداشت ابوریحان بیرونی
06/14	شهادت آیت‌اللّه قدوسی و سرتیپ وحید دستجردی(۱۳۶۰ ه‍.ش)
06/17	قیام ۱۷ شهریور و کشتار جمعی از مردم به دست مأموران ستم‌شاهی پهلوی(۱۳۵۷ ه‍.ش)
06/19	وفات آیت‌اللّه سید محمود طالقانی اولین امام جمعهٔ تهران(۱۳۵۸ ه‍.ش)
06/20	شهادت دومین شهید محراب آیت‌اللّه مدنی به دست منافقان(۱۳۶۰ ه‍.ش)
06/21	روز سینما
06/27	روز شعر و ادب فارسی – روز بزرگداشت استاد سید محمد حسین شهریار
06/31	آغاز جنگ تحمیلی(۱۳۵۹ ه‍.ش) – آغاز هفتهٔ دفاع مقدس
07/05	شکست حصر آبادان در عملیات ثامن‌الأئمه(ع)(۱۳۶۰ ه‍.ش)
07/07	روز بزرگداشت فرماندهان شهید دفاع مقدس  – شهادت سرداران اسلام: فلاحی، فکوری، نامحو، کلاهدوز و جهان‌آرا(۱۳۶۰ ه‍.ش) – روز آتش نشانی و ایمنی – روز بزرگداشت شمس
07/08	روز بزرگداشت مولوی
07/09	‫روز همبستگی و همدردی با کودکان و نوجوانان فلسطینی
07/13	هجرت امام خمینی از عراق به پاریس(۱۳۵۷ ه‍.ش) – روز نیروی انتظامی
07/14	روز دامپزشکی
07/15	روز روستا و عشایر
07/20	روز بزرگداشت حافظ
07/23	شهادت پنجمین شهید محراب آیت‌اللّه اشرفی اصفهانی به دست منافقان(۱۳۶۱ ه‍.ش)
07/24	روز ملی پارالمپیک
07/26	روز تربیت بدنی و ورزش
07/29	روز صادرات
08/04	اعتراض و افشاگری امام خمینی علیه پذیرش کاپیتولاسیون(۱۳۴۳ ه‍.ش)
08/08	شهادت محمد حسین فهمیده(بسیجی ۱۳ ساله) – روز نوجوان و بسیج دانش‌آموزی
08/10	شهادت آیت‌اللّه قاضی طباطبایی اولین شهید محراب به دست منافقان(۱۳۵۸ ه‍.ش)
08/13	تسخیر لانهٔ جاسوسی آمریکا به دست دانشجویان پیرو خط امام(۱۳۵۸ ه‍.ش) – روز ملی مبارزه با استکبار جهانی – روز دانش‌آموز
08/14	روز فرهنگ عمومی
##08/22	شهادت سید علی اندرزگو به دست مأموران ستم‌شاهی پهلوی(۱۳۵۷ ه‍.ش) ### تغییر به ۲ شهریور(06/02)
08/24	روز کتاب، کتابخوانی و کتابدار – روز بزرگداشت آیت‌اللّه علامه سید محمد حسین طباطبایی(۱۳۶۰ ه‍.ش)
09/05	روز بسیج مستضعفان(تشکیل بسیج مستضعفان به فرمان امام خمینی(ره) – ۱۳۵۸ ه‍.ش)
09/07	روز نیروی دریایی
09/09	روز بزرگداشت شیخ مفید
09/10	شهادت آیت‌اللّه سید حسن مدرس(۱۳۱۶ ه‍.ش) و روز مجلس
09/12	روز قانون اساسی جمهوری اسلامی ایران(تصویب قانون اساسی جمهوری اسلامی ایران، ۱۳۵۸ ه‍.ش)
09/16	روز دانشجو
09/19	تشکیل شورای عالی انقلاب فرهنگی به فرمان امام خمینی(۱۳۶۳ ه‍.ش)
09/20	شهادت آیت‌اللّه دستغیب سومین شهید محراب به دست منافقان(۱۳۶۰ ه‍.ش)
09/25	روز پژوهش
09/27	شهادت آیت‌اللّه دکتر محمد مفتح(۱۳۵۸ ه‍.ش) – روز وحدت حوزه و دانشگاه – روز جهان عاری از خشونت و افراطی‌گری
09/30	شب یلدا
10/05	روز ایمنی در برابر زلزله و کاهش اثرات بلایای طبیعی
10/09	روز بصیرت و میثاق امت با ولایت
10/07	سالروز تشکیل نهضت سوادآموزی به فرمان امام خمینی(ره)(۱۳۵۸ ه‍.ش)
10/19	قیام خونین مردم قم(۱۳۵۶ ه‍.ش)
10/20	شهادت میرزا تقی خان امیرکبیر(۱۲۳۰ ه‍.ش)
10/22	تشکیل شورای انقلاب به فرمان امام خمینی(۱۳۵۷ ه‍.ش)
10/26	فرار شاه معدوم(۱۳۵۷ ه‍.ش)
10/27	شهادت نواب صفوی، طهماسبی، برادران واحدی و ذوالقدر از فداییان اسلام(۱۳۳۴ ه‍.ش)
# روز غزه: ۲۹ دی، یا ۲۵ صفر؟؟
10/29	روز غزه
11/06	سالروز حماسهٔ مردم آمل
11/12	بازگشت امام خمینی به ایران(۱۳۵۷ ه‍.ش) و آغاز دههٔ مبارک فجر انقلاب اسلامی
11/14	روز فناوری فضایی
11/19	روز نیروی هوایی
11/22	پیروزی انقلاب اسلامی ایران و سقوط نظام شاهنشاهی(۱۳۵۷ ه‍.ش)
11/29	قیام مردم تبریز به مناسبت چهلمین روز شهادت شهدای قم(۱۳۵۶ ه‍.ش)
12/05	روزبزرگداشت خواجه نصیرالدین طوسی – روز مهندسی
12/14	روز احسان و نیکوکاری
12/15	روز درختکاری
12/18	روز بزرگداشت سید جمال‌الدین اسدآبادی – سالروز تأسیس کانون‌های فرهنگی هنری مساجد کشور
12/20	روز راهیان نور
12/21	روز بزرگداشت نظامی گنجوی
12/22	روز بزرگداشت شهدا(سال‌روز صدور فرمان امام خمینی مبنی بر تأسیس بنیاد شهید انقلاب اسلامی، ۱۳۵۸ ه‍.ش)
12/25	روز بزرگداشت پروین اعتصامی
12/29	روز ملی شدن صنعت نفت ایران(۱۳۲۹ ه‍.ش)
1387/01/01	‫لحظهٔ تحویل سال ۱۳۸۷ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ‫ساعت ۹ و ۱۸ دقیقه و ۱۹ ثانیه روز پنجشنبه ۱ فروردین ۱۳۸۷، مطابق ۱۲ ربیع‌الاول ۱۴۲۹ و ۲۰ مارس ۲۰۰۸
1387/12/30	‫لحظهٔ تحویل سال ۱۳۸۸ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ‫ساعت ۱۵ و ۱۳ دقیقه و ۳۹ ثانیه روز جمعه ۳۰ اسفند ۱۳۸۷‬، ‫مطابق ۲۲ ربیع‌الاول ۱۴۳۰ و ۲۰ مارس ۲۰۰۹‬
1388/12/29	‫لحظهٔ تحویل سال ۱۳۸۹ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ‫ساعت ۲۱ و ۲ دقیقه و ۱۳ ثانیه روز شنبه ۲۹ اسفند ۱۳۸۸، ‫مطابق ۴ ربیع‌الثانی ۱۳۴۱ و ۲۰ مارس ۲۰۱۰
1390/01/01	‫لحظهٔ تحویل سال ۱۳۹۰ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ساعت ۲ و ۵۰ دقیقه و ۲۵ ثانیه روز دوشنبه ۱ فروردین ۱۳۹۰، ‫مطابق ۱۶ ربیعالثانی ۱۴۳۲ و ۲۱ مارس ۲۰۱۱
1391/01/01	‫لحظهٔ تحویل سال ۱۳۹۱ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ساعت ۸ و ۴۴ دقیقه و ۲۷ ثانیه روز سه‌شنبه ۱ فروردین ۱۳۹۱، ‫مطابق ۲۷ ربیع‌الثانی ‍۱۴۳۳ و ۲۰ مارس ۲۰۱۲
1391/12/30	‫لحظه تحویل سال ۱۳۹۲ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ساعت ۱۴ و ۳۱ دقیقه و ۵۶ ثانیه روز چهارشنبه ۳۰ اسفند ۱۳۹۱، ‫مطابق ۸ جمادی‌الاولی ۱۴۳۴ و ۲۰ مارس ۲۰۱۳
1392/12/29	‫لحظه تحویل سال ۱۳۹۳ هجری شمسی به ساعت رسمی جمهوری اسلامی ایران‬: ساعت ۲۰ و ۲۷ دقیقه و ۷ ثانیه روز پنج‌شنبه ۲۹ اسفند ۱۳۹۲، ‫مطابق ۱۸ جمادی‌الاولی ۱۴۳۵ و ۲۰ مارس ۲۰۱۴



